CBSA Code,year,n
19740,1997,34
19740,1998,46
19740,1999,30
19740,2000,55
19740,2001,43
19740,2002,52
19740,2003,66
19740,2004,27
19740,2005,44
19740,2006,65
19740,2007,102
19740,2008,61
19740,2009,23
19740,2010,45
19740,2011,64
19740,2012,77
19740,2013,53
19740,2014,39
19740,2015,30
19740,2016,31
19740,2017,43
19740,2018,64
19740,2019,24
19740,2020,35
19740,2021,69
19740,2022,41
19780,1980,60
19780,1981,6
19780,1982,10
19780,1983,57
19780,1984,14
19780,1985,7
19780,1986,1
19780,1989,3
19780,1992,11
19780,1993,1
19780,1995,9
19780,1996,2
19780,1998,5
19780,1999,10
19780,2000,11
19780,2001,1
19780,2003,4
19780,2004,3
19780,2005,16
19780,2006,3
19780,2007,6
19780,2008,1
19780,2009,1
19780,2010,3
19780,2012,7
19780,2014,1
19780,2016,1
19780,2017,1
19780,2018,3
19780,2019,1
19780,2020,2
19780,2021,1
19820,1980,75
19820,1981,73
19820,1982,53
19820,1983,56
19820,1984,44
19820,1985,33
19820,1986,30
19820,1987,44
19820,1988,54
19820,1989,41
19820,1990,37
19820,1991,57
19820,1992,19
19820,1993,27
19820,1994,39
19820,1995,35
19820,1996,34
19820,1997,33
19820,1998,52
19820,1999,56
19820,2000,36
19820,2001,60
19820,2002,49
19820,2003,41
19820,2004,27
19820,2005,55
19820,2006,26
19820,2007,35
19820,2008,16
19820,2009,14
19820,2010,24
19820,2011,24
19820,2012,39
19820,2013,10
19820,2014,15
19820,2015,19
19820,2016,21
19820,2017,14
19820,2018,14
19820,2019,13
19820,2020,20
19820,2021,12
19820,2022,10
20260,1980,11
20260,1981,10
20260,1982,5
20260,1983,4
20260,1984,4
20260,1985,3
20260,1986,2
20260,1987,2
20260,1988,1
20260,1989,3
20260,1997,5
20260,1998,2
20260,1999,4
20260,2000,2
20260,2001,2
20260,2003,2
20260,2004,3
20260,2005,7
20260,2007,2
20260,2008,1
20260,2010,2
20260,2011,1
20260,2012,1
20260,2015,2
20260,2016,1
20260,2018,2
20260,2019,1
20260,2020,1
20260,2021,12
21340,1980,38
21340,1981,50
21340,1982,41
21340,1983,56
21340,1984,45
21340,1985,72
21340,1986,62
21340,1987,63
21340,1988,56
21340,1989,59
21340,1990,43
21340,1991,29
21340,1992,41
21340,1993,28
21340,1994,42
21340,1995,27
21340,1996,42
21340,1997,28
21340,1998,49
21340,1999,23
21340,2000,48
21340,2001,46
21340,2002,56
21340,2003,58
21340,2004,37
21340,2005,44
21340,2006,62
21340,2007,47
21340,2008,38
21340,2009,13
21340,2010,19
21340,2011,28
21340,2012,26
21340,2013,15
21340,2014,12
21340,2015,9
21340,2016,6
21340,2017,23
21340,2018,19
21340,2019,15
21340,2020,21
21340,2021,20
21340,2022,18
21500,1980,50
21500,1981,21
21500,1982,24
21500,1983,35
21500,1984,11
21500,1985,23
21500,1986,23
21500,1987,31
21500,1988,53
21500,1989,31
21500,1990,29
21500,1991,28
21500,1992,12
21500,1993,23
21500,1994,31
21500,1995,27
21500,1996,14
21500,1997,23
21500,1998,43
21500,1999,46
21500,2000,11
21500,2001,29
21500,2002,31
21500,2003,14
21500,2004,15
21500,2005,35
21500,2006,12
21500,2007,23
21500,2008,8
21500,2009,4
21500,2010,12
21500,2011,6
21500,2012,19
21500,2013,2
21500,2014,1
21500,2015,3
21500,2016,3
21500,2017,1
21660,1980,3
21660,1981,15
21660,1982,1
21660,1983,6
21660,1984,2
21660,1985,26
21660,1986,13
21660,1987,15
21660,1988,14
21660,1989,1
21660,1990,6
21660,1991,12
21660,1992,10
21660,1993,1
21660,1994,3
21660,1995,2
21660,1996,17
21660,1998,12
21660,1999,20
21660,2000,32
21660,2001,38
21660,2002,28
21660,2003,32
21660,2004,24
21660,2005,38
21660,2006,15
21660,2007,24
21660,2008,15
21660,2009,26
21660,2010,5
